candidate_id,semantic_score,skill_score,behavior_score,experience_score,final_score
CAND_0000001,0.707,3.91,0.6838,1.0,1.547
CAND_0000032,0.7261,3.2367,0.3948,1.0,1.3286
CAND_0000083,0.7071,2.8433,0.5512,1.0,1.2539
CAND_0000021,0.7532,3.0467,0.249,0.7,1.2178
CAND_0000074,0.7285,3.12,0.5704,0.2,1.2155
CAND_0000082,0.7102,2.0,0.5044,1.0,1.0349
CAND_0000031,0.7573,1.7,0.7448,1.0,1.0269
CAND_0000062,0.7195,1.46,0.4876,0.7,0.8553
CAND_0000044,0.7266,1.42,0.2552,1.0,0.8467
CAND_0000097,0.7323,1.5867,0.0286,1.0,0.8453
CAND_0000010,0.7089,1.3033,0.3492,0.7,0.7842
CAND_0000043,0.7341,1.3133,0.046,1.0,0.7812
CAND_0000071,0.6958,1.43,0.5276,0.2,0.7713
CAND_0000056,0.702,1.44,0.3954,0.2,0.7499
CAND_0000063,0.7288,0.0,0.7176,1.0,0.585
CAND_0000046,0.728,0.0,0.5796,1.0,0.5571
CAND_0000075,0.6921,0.0,0.6134,1.0,0.5495
CAND_0000051,0.7069,0.0,0.5076,1.0,0.5343
CAND_0000088,0.7436,0.0,0.4202,1.0,0.5315
CAND_0000093,0.7226,0.0,0.395,1.0,0.5181
CAND_0000027,0.7174,0.0,0.63,0.7,0.5179
CAND_0000055,0.7406,0.0,0.3564,1.0,0.5175
CAND_0000095,0.704,0.0,0.4234,1.0,0.5163
CAND_0000024,0.7006,0.0,0.4274,1.0,0.5157
CAND_0000016,0.7014,0.0,0.3988,1.0,0.5103
CAND_0000018,0.7316,0.0,0.3136,1.0,0.5054
CAND_0000086,0.7255,0.0,0.527,0.7,0.5006
CAND_0000072,0.7239,0.0,0.2892,1.0,0.4974
CAND_0000038,0.7197,0.0,0.2616,1.0,0.4902
CAND_0000073,0.7305,0.0,0.4576,0.7,0.4887
CAND_0000085,0.703,0.0,0.4816,0.7,0.4825
CAND_0000025,0.7216,0.0,0.2094,1.0,0.4805
CAND_0000020,0.7347,0.0,0.178,1.0,0.4795
CAND_0000029,0.6905,0.0,0.239,1.0,0.474
CAND_0000014,0.7218,0.0,0.1738,1.0,0.4735
CAND_0000036,0.6816,0.0,0.4716,0.7,0.4719
CAND_0000048,0.7175,0.0,0.3984,0.7,0.4717
CAND_0000023,0.7181,0.0,0.3954,0.7,0.4713
CAND_0000015,0.7271,0.0,0.1468,1.0,0.4702
CAND_0000033,0.6779,0.0,0.238,1.0,0.4687
CAND_0000068,0.7394,0.0,0.7088,0.2,0.4675
CAND_0000007,0.7197,0.0,0.1472,1.0,0.4673
CAND_0000026,0.7143,0.0,0.1566,1.0,0.467
CAND_0000058,0.6844,0.0,0.4364,0.7,0.466
CAND_0000070,0.6945,0.0,0.4092,0.7,0.4647
CAND_0000054,0.711,0.0,0.374,0.7,0.4642
CAND_0000009,0.7131,0.0,0.3692,0.7,0.4641
CAND_0000037,0.698,0.0,0.3892,0.7,0.4621
CAND_0000069,0.7128,0.0,0.354,0.7,0.4609
CAND_0000030,0.6859,0.0,0.3974,0.7,0.4588
CAND_0000060,0.7009,0.0,0.1376,1.0,0.4579
CAND_0000077,0.7289,0.0,0.0724,1.0,0.4561
CAND_0000041,0.6971,0.0,0.3478,0.7,0.4534
CAND_0000080,0.6933,0.0,0.1186,1.0,0.451
CAND_0000091,0.7119,0.0,0.2962,0.7,0.449
CAND_0000042,0.7022,0.0,0.0832,1.0,0.4475
CAND_0000096,0.7285,0.0,0.2524,0.7,0.4469
CAND_0000084,0.7063,0.0,0.2942,0.7,0.4464
CAND_0000087,0.7045,0.0,0.6488,0.2,0.4415
CAND_0000017,0.7318,0.0,0.2094,0.7,0.4396
CAND_0000061,0.7121,0.0,0.022,1.0,0.4393
CAND_0000050,0.6875,0.0,0.285,0.7,0.437
CAND_0000053,0.6865,0.0,0.2866,0.7,0.4369
CAND_0000067,0.7286,0.0,0.1822,0.7,0.4329
CAND_0000092,0.681,0.0,0.2706,0.7,0.4315
CAND_0000006,0.6922,0.0,-0.0226,1.0,0.4224
CAND_0000076,0.7048,0.0,0.1686,0.7,0.4206
CAND_0000005,0.6971,0.0,0.1712,0.7,0.4181
CAND_0000078,0.7144,0.0,0.1268,0.7,0.4161
CAND_0000019,0.657,0.0,-0.0128,1.0,0.4103
CAND_0000064,0.6971,0.0,0.1272,0.7,0.4093
CAND_0000002,0.7003,0.0,0.1194,0.7,0.409
CAND_0000049,0.6907,0.0,0.138,0.7,0.4089
CAND_0000079,0.7081,0.0,0.1014,0.7,0.4085
CAND_0000094,0.6488,0.0,0.589,0.2,0.4073
CAND_0000008,0.6749,0.0,0.138,0.7,0.4026
CAND_0000057,0.722,0.0,0.0248,0.7,0.3988
CAND_0000035,0.7041,0.0,0.0604,0.7,0.3987
CAND_0000013,0.6879,0.0,0.4624,0.2,0.3977
CAND_0000045,0.7175,0.0,0.0208,0.7,0.3962
CAND_0000039,0.6754,0.0,0.0886,0.7,0.3929
CAND_0000081,0.7109,0.0,-0.0132,0.7,0.3867
CAND_0000011,0.7278,0.0,0.3204,0.2,0.3852
CAND_0000040,0.6869,0.0,0.399,0.2,0.3846
CAND_0000065,0.7057,0.0,-0.0144,0.7,0.3844
CAND_0000034,0.7086,0.0,-0.0256,0.7,0.3833
CAND_0000047,0.6937,0.0,0.3674,0.2,0.381
CAND_0000028,0.6698,0.0,0.3804,0.2,0.374
CAND_0000004,0.6875,0.0,-0.041,0.7,0.3718
CAND_0000099,0.7189,0.0,0.1786,0.2,0.3533
CAND_0000090,0.7104,0.0,0.1314,0.2,0.3404
CAND_0000089,0.7203,0.0,0.1078,0.2,0.3397
CAND_0000098,0.6733,0.0,0.1962,0.2,0.3386
CAND_0000003,0.7011,0.0,0.1078,0.2,0.332
CAND_0000022,0.7243,0.0,0.0502,0.2,0.3298
CAND_0000052,0.7049,0.0,0.0452,0.2,0.321
CAND_0000059,0.6915,0.0,0.0426,0.2,0.3151
CAND_0000066,0.6851,0.0,0.0352,0.2,0.3111
CAND_0000012,0.6839,0.0,0.0028,0.2,0.3041
